system,oqmd_stable,with_DL,new_compounds,choices
"('F', 'As', 'Na')",8,26,18,"['Na0.375As0.125F0.5', 'Na0.125As0.125F0.75']"
"('K', 'F', 'Si')",8,26,18,"['K0.125Si0.125F0.75', 'K0.4Si0.1F0.5']"
"('Rh', 'P', 'Li')",11,29,18,"['Li0.4P0.4Rh0.2', 'Li0.33333333P0.22222222Rh0.44444444']"
"('Br', 'Na', 'Te')",8,26,18,"['Na0.44444444Te0.22222222Br0.33333333', 'Na0.111111Te0.111111Br0.777778']"
"('K', 'F', 'P')",9,27,18,"['K0.333333P0.111111F0.555556', 'K0.1F0.9']"
"('K', 'F', 'Cl')",7,24,17,"['K0.44444444Cl0.11111111F0.44444444', 'K0.1Cl0.1F0.8', 'K0.222222Cl0.222222F0.555556', 'K0.42857143Cl0.42857143F0.14285714']"
"('Fe', 'K', 'F')",8,25,17,"['K0.111111Fe0.111111F0.777778', 'K0.444444F0.555556']"
"('K', 'F', 'Co')",7,24,17,"['K0.1Co0.1F0.8', 'K0.444444F0.555556']"
"('K', 'Cu', 'F')",6,23,17,"['K0.111111Cu0.111111F0.777778', 'K0.444444F0.555556']"
"('K', 'F', 'Tl')",8,24,16,"['K0.125Tl0.25F0.625', 'K0.1F0.9', 'K0.333333Tl0.111111F0.555556']"
